"Komisi","SKPD","Kegiatan","Perubahan.Baru","PembahasanDPRD.Tambah.P","PembahasanDPRD.Kurang.P","PembahasanDPRD.Baru.P"
"A","Kecamatan Cakung - JAKTIM","Pemeliharaan saluran  RW. 010 Kel. Cakung Timur","NA","150000000","NA","150000000"
"A","Kecamatan Cakung - JAKTIM","Pemeliharaan saluran (normalisasi dan pembersihan got/gorong-gorong)RT 001 s.d RT 008 RW 05 Kel. Rawa Terate","NA","36000000","NA","36000000"
"A","Kecamatan Cakung - JAKTIM","Pemeliharaan saluran dengan pengerukan RT 009 RW 01 s.d RW 02 Kel. Rawa Terate","NA","152000000","NA","152000000"
"A","Kecamatan Cakung - JAKTIM","Pemeliharaan saluran dengan pengerukan RT 03 RW 03 Kel. Rawa Terate","NA","19000000","NA","19000000"
"A","Kecamatan Cakung - JAKTIM","Pemeliharaan saluran mikro Sepanjang JL.Radjiman WD RW 04 Kel. Rawa Terate","NA","72000000","NA","72000000"
"A","Kecamatan Cakung - JAKTIM","Penegakan Perda di Wilayah Kecamatan Cakung","NA","198000000","NA","198000000"
"A","Kecamatan Cakung - JAKTIM","Pengadaan Alat Penunjang Kebersihan Lingkungan","NA","22000000","NA","22000000"
"A","Kecamatan Cakung - JAKTIM","Pengadaan Gerobak Sampah di Wilayah Kecamatan Cakung","NA","80000000","NA","80000000"
"A","Kecamatan Cakung - JAKTIM","Pengadaan Kantong Sampah Plastik di Wilayah Kecamatan Cakung","NA","22500000","NA","22500000"
"A","Kecamatan Cakung - JAKTIM","Pengadaan Tong Sampah Fiberglass Pilah Organik dan Non Organik di Wilayah Kecamatan Cakung","NA","84000000","NA","84000000"
"A","Kecamatan Cakung - JAKTIM","Pengadaan Tong Sampah Pilah Organik dan Non Organik di Wilayah Kecamatan Cakung","NA","88500000","NA","88500000"
"A","Kecamatan Cakung - JAKTIM","Pengadaan tutup saluran (Pembuatan Trotoar) RT 001 RW 03 Kel. Rawa Terate","NA","105000000","NA","105000000"
"A","Kecamatan Cakung - JAKTIM","Pengasalan / Layer Hotmix RW 05 Kelurahan Penggilingan","NA","165000000","NA","165000000"
"A","Kecamatan Cakung - JAKTIM","Pengerukan dan pengangkatan lumpur - Jl. Swadaya Kp. Pulo Jahe RT.007, 009 RW.05 Kel. Jatinegara","NA","47500000","NA","47500000"
"A","Kecamatan Cakung - JAKTIM","Pengerukan saluran air - Jl. Raya Bekasi Km.18 RT.003, 005, 006 RW.011 Kel. Jatinegara","NA","76000000","NA","76000000"
"A","Kecamatan Cakung - JAKTIM","Pengerukan saluran air utama jalan swadaya PLN - Jl. Swadaya PLN Kampung baru Klender RW.01 Kel. Jatinegara","NA","95000000","NA","95000000"
"A","Kecamatan Cakung - JAKTIM","Pengurasan Saluran Air Jl. Raya Bekasi (Depan Kantor Camat Cakung) ","NA","190000000","NA","190000000"
"A","Kecamatan Cakung - JAKTIM","Pengurasan gorong-gorong dari RW.01 s.d Kali Sunter Kel. Rawa Terate ","NA","27840000","NA","27840000"
"A","Kecamatan Cakung - JAKTIM","Pengurasan lumpur saluran terbuka bebas RW 01 Kel. Ujung Menteng","NA","129960000","NA","129960000"
"A","Kecamatan Cakung - JAKTIM","Peningkatan Edukasi Kesehatan dan Kesegaran Jasmani Masyarakat","NA","140000000","NA","140000000"
"A","Kecamatan Cakung - JAKTIM","Peningkatan Kapasitas Kelembagaan  LMK se-Kecamatan Cakung","NA","185000000","NA","185000000"
"A","Kecamatan Cakung - JAKTIM","Peningkatan Kapasitas Kelembagaan Masyarakat Bidang Pelayanan Umum","NA","178000000","NA","178000000"
"A","Kecamatan Cakung - JAKTIM","Peningkatan Kapasitas Pegawai Bidang Perencanaan","NA","197000000","NA","197000000"
"A","Kecamatan Cakung - JAKTIM","Peningkatan Kapasitas Pelaku Usaha Kecil, Menengah dan Koperasi Kecamatan Cakung","NA","185000000","NA","185000000"
"A","Kecamatan Cakung - JAKTIM","Peningkatan Kapasitas Prestasi Kerja Pegawai","NA","145000000","NA","145000000"
"A","Kecamatan Cakung - JAKTIM","Peningkatan Kapasitas dan Kapabilitas Aparatur Kecamatan Cakung","NA","195000000","NA","195000000"
"A","Kecamatan Cakung - JAKTIM","Peningkatan Kapasitas dan Kelembagaan RW se-Kecamatan Cakung","NA","185000000","NA","185000000"
"A","Kecamatan Cakung - JAKTIM","Peningkatan Kapasitas dan Kualitas Kader PKK / Majelis Taklim/ Posyandu tingkat Kecamatan Cakung ","NA","195000000","NA","195000000"
"A","Kecamatan Cakung - JAKTIM","Peningkatan Kualitas Administrasi Keuangan Pegawai Kecamatan Cakung","NA","155000000","NA","155000000"
"A","Kecamatan Cakung - JAKTIM","Peningkatan Kualitas Perencanaan dan Pengawasan Pembangunan bagi Kelembagaan Masyarakat","NA","178000000","NA","178000000"
"A","Kecamatan Cakung - JAKTIM","Peningkatan Pengetahuan dan Wawasan Bidang Hukum bagi Pegawai","NA","70000000","NA","70000000"
"A","Kecamatan Cakung - JAKTIM","Peningkatan jalan dan jembatan, di JL. Rukem Jaya RW 08 Kel. Ujung Menteng","NA","25200000","NA","25200000"
"A","Kecamatan Cakung - JAKTIM","Penopingan pohon se-Kecamatan Cakung","NA","105000000","NA","105000000"
"A","Kecamatan Cakung - JAKTIM","Penyediaan Kebutuhan Operasional Kantor","NA","198000000","NA","198000000"
"A","Kecamatan Cakung - JAKTIM","Perbaikan  dan Pemeliharaan Jembatan Orang RT 004 dan 012 RW 06 Kel. Rawa Terate","NA","80010000","NA","80010000"
"A","Kecamatan Cakung - JAKTIM","Perbaikan  jalan MHT/Orang RW. 014 Kel. Jatinegara","NA","183543878","NA","183543878"
"A","Kecamatan Cakung - JAKTIM","Perbaikan Jalan  RW. 06 Kel. Cakung Timur","NA","131000000","NA","131000000"
"A","Kecamatan Cakung - JAKTIM","Perbaikan Jalan Orang RW 014 kel.pulogebang","NA","131102770","NA","131102770"
"A","Kecamatan Cakung - JAKTIM","Perbaikan Jalan Orang RW 07 Kel Pulogebang","NA","131102770","NA","131102770"
"A","Kecamatan Cakung - JAKTIM","Perbaikan Jalan Orang RW.011 Kel pulogebang","NA","131102770","NA","131102770"
"A","Kecamatan Cakung - JAKTIM","Perbaikan Jalan Rawa Bebek RW 01 kel.pulogebang","NA","177080000","NA","177080000"
"A","Kecamatan Cakung - JAKTIM","Perbaikan Saluran RT 001, 002, 003 RW 015 Kel. Penggilingan","NA","184500000","NA","184500000"
"A","Kecamatan Cakung - JAKTIM","Perbaikan Saluran air - Jl. Swadaya Kp. Pulo Jahe RT.001, 002, 008 RW.05 Kel. Jatinegara","NA","66500000","NA","66500000"
"A","Kecamatan Cakung - JAKTIM","Perbaikan jalan  Orang/MHT RW 06 Kel. Rawa Terate","NA","52441108","NA","52441108"
"A","Kecamatan Cakung - JAKTIM","Perbaikan jalan Orang  RW. 09 Kel. Cakung Barat ","NA","136323324","NA","136323324"
"A","Kecamatan Cakung - JAKTIM","Perbaikan jalan Orang JL.Pulo Gebang Rw.04 Kel. Ujung Menteng","NA","59258452","NA","59258452"
"A","Kecamatan Cakung - JAKTIM","Perbaikan jalan Orang RW 02 Kel. Cakung Timur","NA","183400000","NA","183400000"
"A","Kecamatan Cakung - JAKTIM","Perbaikan jalan Orang RW 05 Kel. Cakung Timur","NA","131000000","NA","131000000"
"A","Kecamatan Cakung - JAKTIM","Perbaikan jalan Orang RW. 04","NA","198758400","NA","198758400"
"A","Kecamatan Cakung - JAKTIM","Perbaikan jalan Orang RW. 05 Kel. cakung barat","NA","159043878","NA","159043878"
"A","Kecamatan Cakung - JAKTIM","Perbaikan jalan Orang RW.010 Kel. Jatinegara","NA","91771939","NA","91771939"
"A","Kecamatan Cakung - JAKTIM","Perbaikan jalan Orang RW.03 Kel. Ujung Menteng","NA","157323324","NA","157323324"
"A","Kecamatan Cakung - JAKTIM","Perbaikan jalan Orang RW04 Kel Pulogebang","NA","149457648","NA","149457648"
"A","Kecamatan Cakung - JAKTIM","Perbaikan jalan Orang Rw.02 Kel. Ujung Menteng","NA","104882216","NA","104882216"
"A","Kecamatan Cakung - JAKTIM","Perbaikan jalan Orang Rw.08 Kel. Ujung Menteng","NA","52441108","NA","52441108"
"A","Kecamatan Cakung - JAKTIM","Perbaikan jalan Orang/MHT  RW.012 Kel. Jatinegara","NA","117992493","NA","117992493"
"A","Kecamatan Cakung - JAKTIM","Perbaikan jalan lingkungan, RT 004 RW 08 Kel. Ujung Menteng ","NA","165000000","NA","165000000"
"A","Kecamatan Cakung - JAKTIM","Perbaikan jalan orang RW. 01, kel cakung barat ","NA","136323324","NA","136323324"
"A","Kecamatan Cakung - JAKTIM","Perbaikan jalan orang RW. 07, kel cakung barat ","NA","136323324","NA","136323324"
"A","Kecamatan Cakung - JAKTIM","Perbaikan jalan orang/MHT RW 04 Kelurahan Rawa Teratai ","NA","78661662","NA","78661662"
"A","Kecamatan Cakung - JAKTIM","Perbaikan/ peningkatan sarana prasarana kebersihan (TPS), Jalan Bekasi Raya (JL. Pulo Gebang No. 25 RW 04 Cakung Kel. Ujung Menteng","NA","36000000","NA","36000000"
"A","Kecamatan Cakung - JAKTIM","Perbaikan/ peningkatan sarana prasarana kebersihan (TPS), Jalan Bekasi Raya (JL. Rawa Kuning) No. 35 Rw.05 Kel. Ujung Menteng","NA","36000000","NA","36000000"
"A","Kecamatan Cakung - JAKTIM","Perbaikan/Peningkatan jalan dan jembatan RT 003 RW 05 Rawa Terate","NA","80010000","NA","80010000"
"A","Kecamatan Cakung - JAKTIM","Perbaikan/pengurasan Saluran air RW 010 Kel. Cakung Timur","NA","36000000","NA","36000000"
"A","Kecamatan Cakung - JAKTIM","Perbaikan/pengurasan Saluran air RW 06 Kel. Cakung Timur","NA","132000000","NA","132000000"
"A","Kecamatan Cakung - JAKTIM","Perumahan Jalan Lingkungan di RW 08 Kelurahan Pulo Gebang","NA","160000000","NA","160000000"
"A","Kecamatan Cakung - JAKTIM","Rapat Koordinasi Wilayah Lengkap Tingkat Kecamatan","NA","25000000","NA","25000000"
"A","Kecamatan Cakung - JAKTIM","Sosialisasi Pelaksanaan Pengawasan Kawasan Dilarang Merokok","NA","97000000","NA","97000000"
"A","Kecamatan Cakung - JAKTIM","pengurasan saluran air DI RT 001-005 RW 01kelurahan penggilingan","NA","95000000","NA","95000000"
"A","Kecamatan Cakung - JAKTIM","pengurasan saluran air Jl. Penggilingan RW 07 Kel. Penggilingan","NA","101175000","NA","101175000"
"A","Kecamatan Cakung - JAKTIM","pengurasan saluran air RT.001 s.d 010 RW 013 Kel. Penggilingan","NA","95000000","NA","95000000"
"A","Kecamatan Cakung - JAKTIM","perbaikan saluran air Jl. KH.Muhir s.d.Jl. H.Muhajar, Jl. AlWathoniyah RW 08 Kel. Penggilingan","NA","128250000","NA","128250000"
"A","Kecamatan Makasar - JAKTIM","Pemeliharaan Jalan Angkasa I RW 09 Kel. Halim Perdanakusuma","NA","93200000","NA","93200000"
"A","Kecamatan Makasar - JAKTIM","Pengurasan saluran air di Gg. Musholla Al-Anwar RT 001, 002, 003, 014, Samping Puskesmas RT 008 RW 06, Gg. IX RT 009 RW 06, Gg. Delima RW 06 Kel. Makasar","NA","69600000","NA","69600000"
"A","Kecamatan Makasar - JAKTIM","Pengurasan saluran air terbuka Jl. Kerja Bakti Kel. Makasar","NA","96900000","NA","96900000"
"A","Kecamatan Makasar - JAKTIM","Pengurasan saluran jalan Pusdiklat Depnaker Kel. Makasar","NA","150000000","NA","150000000"
"A","Kecamatan Makasar - JAKTIM","Peningkatan Jalan Lingkungan RW 06 Kel. Kebon Pala","NA","62880000","NA","62880000"
"A","Kecamatan Makasar - JAKTIM","Peningkatan Jalan Orang di Lingkungan RW 05 Kel. Kebon Pala","NA","189000000","NA","189000000"
"A","Kecamatan Makasar - JAKTIM","Peningkatan Jalan di Jl. Sumur Jambu RW 05 Kel. Makasar","NA","48000000","NA","48000000"
"A","Kecamatan Makasar - JAKTIM","Peningkatan Jalan lingkungan RW 04 Kel. Makasar","NA","64000000","NA","64000000"
"A","Kecamatan Makasar - JAKTIM","Peningkatan Jalan lingkungan RW 04 dan setapak di RW 05 Kel. Makasar","NA","130240000","NA","130240000"
"A","Kecamatan Makasar - JAKTIM","Peningkatan Jalan orang Jl. Bentengan RT 004, Jl. Bentengan RT 005, Jl. Jayakusuma III, Gg. Gereja RT 008 RW 01 Kel. Makasar","NA","166854000","NA","166854000"
"A","Kecamatan Makasar - JAKTIM","Peningkatan Jalan orang Jl. Jayakusuma RT 002, Jl. Jayakusuma II RT 006, Jl. Jayakusuma RT 002, Jl. Bentegan I dan II RW 01 Kel. Makasar","NA","166854000","NA","166854000"
"A","Kecamatan Makasar - JAKTIM","Peningkatan Jalan orang Jl. PLK II RT 009, JL. PLK RT 010, Jl. BU RW 01 Kel. Makasar","NA","125140909","NA","125140909"
"A","Kecamatan Makasar - JAKTIM","Peningkatan Jalan orang di Jl. AMD Dalam RT 001/02, Gg. H. Ali RT 003/02, Gg. Asem RT 005/02 Kel. Makasar","NA","183225000","NA","183225000"
"A","Kecamatan Makasar - JAKTIM","Perbaikan /peningkatan jalan orang RT 001 RW 01 Kel. Pinang Ranti","NA","155515000","NA","155515000"
"A","Kecamatan Makasar - JAKTIM","Perbaikan /peningkatan jalan orang RT 002 RW 01 Kel. Pinang Ranti","NA","184000000","NA","184000000"
"A","Kecamatan Makasar - JAKTIM","Perbaikan Jalan Al-Munir RW 03 Kel. Makasar","NA","63750000","NA","63750000"
"A","Kecamatan Makasar - JAKTIM","Perbaikan Jalan Lingkungan di RW 10 Kel. Cipinang Melayu","NA","174666667","NA","174666667"
"A","Kecamatan Makasar - JAKTIM","Perbaikan Jalan Orang di Lingkungan RW 05 Kel. Kebon Pala","NA","189000000","NA","189000000"
"A","Kecamatan Makasar - JAKTIM","Perbaikan Jalan Orang di RW 05 Kel. Halim Perdanakusuma","NA","126000000","NA","126000000"
"A","Kecamatan Makasar - JAKTIM","Perbaikan Jalan Setapak RT 003 s/d 004 RW 011 Kel. Kebon Pala","NA","174666667","NA","174666667"
"A","Kecamatan Makasar - JAKTIM","Perbaikan Jalan Setapak RW 011 Kel. Cipinang Melayu","NA","174666667","NA","174666667"
"A","Kecamatan Makasar - JAKTIM","Perbaikan Jalan Setapak RW 11 Kel. Kebon Pala","NA","87333333","NA","87333333"
"A","Kecamatan Makasar - JAKTIM","Perbaikan Jalan Setapak di RW 06 Kel. Kebon Pala","NA","174666667","NA","174666667"
"A","Kecamatan Makasar - JAKTIM","Perbaikan Jalan Setiaki RW 01 Kelurahan Halim Perdanakusuma","NA","159000000","NA","159000000"
"A","Kecamatan Makasar - JAKTIM","Perbaikan Jalan lingkungan di RW 08 Kel. Cipinang Melayu","NA","122150000","NA","122150000"
"A","Kecamatan Makasar - JAKTIM","Perbaikan Jalan setapak RW 09 Kel. Cipinang Melayu","NA","160954000","NA","160954000"
"A","Kecamatan Makasar - JAKTIM","Perbaikan jalan Reformasi II Kel. Pinang Ranti","NA","175000000","NA","175000000"
"A","Kecamatan Makasar - JAKTIM","Perbaikan jalan Semar II RW 01 kelurahan Halim Perdanakusuma","NA","196500000","NA","196500000"
"A","Kecamatan Makasar - JAKTIM","Perbaikan jalan di RW 06 Kel. Makasar","NA","150000000","NA","150000000"
"A","Kecamatan Makasar - JAKTIM","Perbaikan jalan di lingkungan RW 010 kel. Kebon Pala","NA","159000000","NA","159000000"
"A","Kecamatan Makasar - JAKTIM","Perbaikan jalan di lingkungan RW 02 Kel. Cipinang Melayu","NA","159000000","NA","159000000"
"A","Kecamatan Makasar - JAKTIM","Perbaikan jalan di lingkungan RW 04 kel. Cipinang Melayu","NA","159000000","NA","159000000"
"A","Kecamatan Makasar - JAKTIM","Perbaikan jalan di lingkungan RW 05 Kel. Cipinang Melayu","NA","159000000","NA","159000000"
"A","Kecamatan Makasar - JAKTIM","Perbaikan jalan di lingkungan RW 06 Kel. Makasar","NA","175000000","NA","175000000"
"A","Kecamatan Makasar - JAKTIM","Perbaikan jalan di lingkungan RW 07 Kel. Cipinang Melayu","NA","159000000","NA","159000000"
"A","Kecamatan Makasar - JAKTIM","Perbaikan jalan di lingkungan RW 07 kel. Makasar","NA","159000000","NA","159000000"
"A","Kecamatan Makasar - JAKTIM","Perbaikan jalan ex P2KP RW 03 Kelurahan Cipinang Melayu","NA","74500000","NA","74500000"
"A","Kecamatan Makasar - JAKTIM","Perbaikan jalan kerja bakti I Kel. Makasar","NA","175000000","NA","175000000"
"A","Kecamatan Makasar - JAKTIM","Perbaikan jalan lingkungan RW 09 Kel. Cipiang Melayu","NA","171000000","NA","171000000"
"A","Kecamatan Makasar - JAKTIM","Perbaikan jalan orang di lingkungan RW 02 Kel. Makasar","NA","183225000","NA","183225000"
"A","Kecamatan Makasar - JAKTIM","Perbaikan jalan setapak RW 01 Kel. Cipiang Melayu","NA","169000000","NA","169000000"
"A","Kecamatan Makasar - JAKTIM","Perbaikan jalan setapak RW 03 Kel. Cipiang Melayu","NA","195000000","NA","195000000"
"A","Kecamatan Makasar - JAKTIM","Perbaikan jalan setapak di lingkungan RW 03 Kel. Makasar","NA","191250000","NA","191250000"
"A","Kecamatan Makasar - JAKTIM","Perbaikan/peningkatan jalan orang RT 014 s.d 017 RW 02 kel. Pinang Ranti","NA","196500000","NA","196500000"
"A","Kelurahan Cempaka Baru - JAKPUS","Perbaikan Jalan Lingkungan di RW 01","NA","150000000","NA","150000000"
"A","Kelurahan Cempaka Baru - JAKPUS","Perbaikan Jalan Lingkungan di RW 03","NA","150000000","NA","150000000"
"A","Kelurahan Cempaka Baru - JAKPUS","Perbaikan Jalan Lingkungan di RW 05","NA","100000000","NA","100000000"
"A","Kelurahan Cempaka Baru - JAKPUS","Perbaikan Jalan Lingkungan di RW 09 ","NA","100000000","NA","100000000"
"A","Kelurahan Cempaka Baru - JAKPUS","Perbaikan Saluran Air di RW 01","NA","100000000","NA","100000000"
"A","Kelurahan Cempaka Baru - JAKPUS","Perbaikan Saluran Air di RW 05","NA","100000000","NA","100000000"
"A","Kelurahan Cempaka Baru - JAKPUS","Perbaikan Saluran Air di RW 08","NA","100000000","NA","100000000"
"A","Kelurahan Cempaka Baru - JAKPUS","Perbaikan Saluran Air di RW 09","NA","100000000","NA","100000000"
"A","Kelurahan Cempaka Baru - JAKPUS","Perbaikan Saluran Air di RW 10","NA","100000000","NA","100000000"
"A","Kelurahan Cipinang","Pengadaan Troli / roli ","NA","95000000","NA","95000000"
"A","Kelurahan Cipinang","Pengurasan saluran RW 007,012 dan 013","NA","98500000","NA","98500000"
"A","Kelurahan Cipinang Besar Utara","Penataan Taman Kantor Kelurahan Cipinang Besar Utara","NA","51800000","NA","51800000"
"A","Kelurahan Cipinang Besar Utara","Pengadaan Sarana Dan Prasarana Tempat Bermain Anak","NA","35000000","NA","35000000"
"A","Kelurahan Cipinang Besar Utara","Perbaikan Plafon Kantor Kelurahan Cipinang Besar Utara","NA","72600000","NA","72600000"
"A","Kelurahan Duren Sawit","Pengadaan Meubelair Kantor Kelurahan ","NA","50000000","NA","50000000"
"A","Kelurahan Gedong - JAKTIM","Pembinaan Kader Perempuan Kelurahan Gedong","NA","190000000","NA","190000000"
"A","Kelurahan Gedong - JAKTIM","Pembinaan Pemuda-Pemudi Kelurahan Gedong","NA","190000000","NA","190000000"
"A","Kelurahan Gedong - JAKTIM","Pembinaan SDM Kelurahan Gedong","NA","190000000","NA","190000000"
"A","Kelurahan Gedong - JAKTIM","Penyuluhan Kejahatan Seksual Terhadap Anak","NA","190000000","NA","190000000"
"A","Kelurahan Jati","Pengadaan Meubelair Kantor Kelurahan ","NA","40000000","NA","40000000"
"A","Kelurahan Jati","Pengadaan Seragam Bagi RT /RW /LMK","NA","62000000","NA","62000000"
"A","Kelurahan Jati","Pengurasan saluran lingkungan ","NA","98000000","NA","98000000"
"A","Kelurahan Jati","pengadaan Vertical Blind","NA","75600000","NA","75600000"
"A","Kelurahan Jati","pengadaan paging system","NA","70000000","NA","70000000"
"A","Kelurahan Jatinegara Kaum - JAKTIM","Pengadaan mesin absensi","NA","50000000","NA","50000000"
"A","Kelurahan Kebon Pala","Pengadaaan audiovisual untuk pelayanan pergerakan masyarakat","NA","48500000","NA","48500000"
"A","Kelurahan Kebon Pala","Pengadaan Sarana Dan Prasarana Tempat Bermain Anak","NA","70000000","NA","70000000"
"A","Kelurahan Kramat - JAKPUS","Pembinaan Generasi Muda / Diklat Kepemimpinan untuk generasi muda","NA","60000000","NA","60000000"
"A","Kelurahan Kramat - JAKPUS","Pemeliharaan Instalasi Listrik Kantor Lurah Kramat","NA","80000000","NA","80000000"
"A","Kelurahan Kramat - JAKPUS","Pemeliharaan Saluran Air di RW 01 s.d RW 04 Kel. Kramat","NA","180000000","NA","180000000"
"A","Kelurahan Kramat - JAKPUS","Pemeliharaan Saluran Air di RW 05 s.d RW 08 Kel. Kramat","NA","180000000","NA","180000000"
"A","Kelurahan Kramat - JAKPUS","Perbaikan Jalan di lingkungan RW 03, 04, 05 Kel. Kramat","NA","200000000","NA","200000000"
"A","Kelurahan Paseban - JAKPUS","Pengurusan Saluran RW 01","NA","150000000","NA","150000000"
"A","Kelurahan Paseban - JAKPUS","Pengurusan Saluran RW 02","NA","100000000","NA","100000000"
